Rescue Name,Charity Number,Region,DB Phone,DB Email,API Phone,API Email,API Address,API Postcode
Boxer Welfare Scotland,SC036719,Aberdeen & Grampian,,,,,,
Dog Aid Society Scotland,SC001918,Scotland,0300 365 2500,,,,,
MADRA,1199407,Ireland,,,07488551931,alwaffaamadrasah3@gmail.com,"BARKING MUSLIM COMMUNITY CENTRE, 3 THE TRIANGLE, TANNER STREET, BARKING, IG11 8QA",IG11 8QA
"RSPCA Leeds, Wakefield & District Branch",232223,Yorkshire & The Humber,,,01132536952,info@rspcaleedsandwakefield.org.uk,"R S P C A Leeds, Wakefield &amp; District Animal Centre, Moor Knoll Lane, East Ardsley, WAKEFIELD, WF3 2DX",WF3 2DX
RSPCA Llys Nini Branch,224337,South West Wales,,,01792899460,admin@rspca-llysnini.org.uk,"Llys Nini Animal Centre, Penllergaer, Swansea, SA4 9WB ",SA4 9WB
RSPCA Norwich,1209360,East England,,,0303 040 1565,woof@rspcanorwich.org,"RSPCA Norwich, The Street, Ashwellthorpe, Norfolk, NR16 1EX",NR16 1EX
RSPCA Radcliffe Animal Shelter Trust,1212852,East Midlands,,,01158550222,info@rspca-radcliffe.org.uk,"R S P C A, 32 Nottingham Road, Radcliffe-on-Trent, NOTTINGHAM, NG12 2DW",NG12 2DW
RSPCA Sheffield Branch,225570,Yorkshire & The Humber,,,01142898050,reception@rspcasheffield.org,"2 STADIUM WAY, ATTERCLIFFE, SHEFFIELD, S9 3HN",S9 3HN
"RSPCA Southport, Ormskirk & District Branch",232258,North West England,,,01704567624,info@rspcasouthport.co.uk,"RSPCA, Animal Centre, New Cut Lane, Southport, PR8 3DW",PR8 3DW
RSPCA Sussex East and Hastings Branch,206314,East Midlands,,, 01424 752121,bluebellridge@hotmail.com,"Bluebell Ridge, Chowns Hill, Hastings, TN35 4PA",TN35 4PA
"RSPCA Warrington, Halton and St Helens Branch",232259,North West England,,,01925650586,contact@rspca-whs.org.uk,"R S P C A, Slutchers Lane, WARRINGTON, WA1 1NA",WA1 1NA
RSPCA Westmorland Branch,232236,North West England,,,01539736036,admin@rspca-westmorland.org.uk,"The Ruth Pedley Building, Beezon Fields, Kendal, LA9 6BL",LA9 6BL
Saints Sled Dog Rescue,1204365,National,,,07983548370,info@saintssleddogrescue.co.uk,"Mahon House, Garmondsway, FERRYHILL, County Durham, DL17 9DY",DL17 9DY
Second Chance Akita Rescue,1187521,West Midlands,,,0330 165 4660,admin@secondchanceakitarescue.co.uk,"42 WESLEY AVENUE, HALESOWEN, B63 2PJ",B63 2PJ
Senior Staffy Club,1156723,West Midlands,,,07825750551,admin@seniorstaffyclub.co.uk,"C / O Unit 7 Rockhaven, Triangle Park, Triangle Way, Gloucester, GL1 1AJ",GL1 1AJ
Society for Abandoned Animals,245426,North West England,,,0161 973 5318,office@saarescue.co.uk,"MOSLEY ACRE FARM, STRETFORD, MANCHESTER, M32 9UP",M32 9UP
Southern Golden Retriever Rescue,1098769,South England,,,07480100344,admin@sgrr.org.uk,"14 Swale Road, ROCHESTER, Kent, ME2 2TT",ME2 2TT
Spaniel Aid CIO,1203314,National,,,07825700490,spanielaiduk@gmail.com,"1 BELLE BAULK, TOWCESTER, NN12 6YH",NN12 6YH
Spirit of the Dog Rescue,1123664,East England,,,07907122591,info@spiritofthedog.org.uk,"30 Plantation Road, Boreham, CHELMSFORD, CM3 3EA",CM3 3EA
St Francis Dogs Home,1185816,South West England,,,07500 958520,mail@stfrancisnewquay.org.uk,"St Francis Dogs Home, Trevelgue Road, Porth, Newquay, TR7 3LY",TR7 3LY
Staffie and Stray Rescue,1163631,South West England,,,07963566084,staffiesrescue@gmail.com,"STAFFIE AND STRAY RESCUE OFFICE, 76 Medway Road, FERNDOWN, BH22 8US",BH22 8US
Stokenchurch Dog Rescue,274589,South East England,,,01494482695,admin@stokenchurchdogrescue.org.uk,"Tower Farm, Oxford Road, Stokenchurch, HIGH WYCOMBE, HP14 3TD",HP14 3TD
Tails Animal Welfare,1203993,North West England,,,07575870887,tailsanimalwelfare@gmail.com,"21 CROXTETH ROAD, LIVERPOOL, L8 3SE",L8 3SE
Team Poundie,1166962,North East England,,,07805297340,,"Team Poundie, 8 Bagley Drive, Wellington, TELFORD, Shropshire, TF1 3NP",TF1 3NP
Teckels Animal Sanctuaries,1108726,South West England,,,01452740300,enquiries@teckelsanimalsanctuaries.co.uk,"TECKELS, BRISTOL ROAD, WHITMINSTER, GLOUCESTER, GL2 7LU",GL2 7LU
The Animal House Rescue,1111314,West Midlands,,,00000000000000,info@theanimalhouserescue.co.uk,"POSTAL ADDRESS ONLY, 4 Kintore Croft, Birmingham, West Midlands, B32 4JJ",B32 4JJ
The Cat Welfare Group,1189649,South East England,,,07990064422,Contact@TheCatWelfareGroup.org,"Knight Goodhead, 7 Bournemouth Road, Chandler's Ford, EASTLEIGH, Hampshire, SO53 3DA",SO53 3DA
The Kennel Club,1114823,London,,,02075181061,artgallery@the-kennel-club.org.uk,"THE KENNEL CLUB, 10 CLARGES STREET, PICCADILLY, LONDON, W1J 8AB ",W1J 8AB
