Rescue Name,Charity Number,Region,DB Phone,DB Email,DB Address,DB Postcode,DB Website,API Phone,API Email,API Address,API Postcode,API Website
Animals in Need Northants,,East Midlands,,,,,www.animalwelfarefurness.org.uk,,,,,
Ashbourne & District Animal Welfare Society,,East Midlands,,,,,www.ashbourneanimalwelfare.org,,,,,
Band of Rescuers North Yorkshire,1183369,Yorkshire & The Humber,,,,,www.bandofrescuers.co.uk,07967811171,bandofrescuersteam@gmail.com,"43 LOWFIELD DRIVE, HAXBY, YORK, YO32 3QT",YO32 3QT,www.bandofrescuers.co.uk
Clare Animal Welfare CLG,,Ireland,,,,,www.clareanimalwelfare.ie,,,,,
Greyhound Trust - National Greyhound Centre,,South East England,,,,,www.greyhoundtrust.org.uk,,,,,
Guernsey SPCA,,Channel Islands,,,,,www.gspca.org.gg,,,,,
Jersey SPCA Animals' Shelter,,Channel Islands,,,,,www.jspca.org.je,,,,,
Manx SPCA,,Isle of Man,,,,,www.manxspca.com,,,,,
Mayo SPCA,,Ireland,,,,,www.mayospca.ie,,,,,
Pawprints Dog Rescue,1190250,West Midlands,,,,,www.pawprintsdogrescue.org,07415030165,pdrescue@hotmail.com,"Pawprints  Dunsmore Kennels., Stave Hall Farm Kennels, Fosse Way, Monks Kirby, Warwickshire, CV23 0RL",CV23 0RL,https://pawprintsdogrescue.org
PAWS Animal Rescue,1203150,Ireland,,,,,www.paws.ie,07565887332,hampshirepaws@outlook.com,"CHASE FARMHOUSE, GILBERT STREET, ROPLEY, ALRESFORD, SO24 0BY",SO24 0BY,www.hampshirepaws.co.uk
People for Animal Care Trust (PACT),1154444,East England,,,,,www.pactsanctuary.org,01362820775,pactsanctuary@btconnect.com,"The Office, RIVER FARM, WOODRISING, NORWICH, Norfolk, NR9 4PJ",NR9 4PJ,www.pactsanctuary.org
Phoenix French Bulldog Rescue,1171943,East England,,,,,www.phoenixfrenchbulldogrescue.org,03007727716,ENQUIRIES@PHOENIXFRENCHBULLDOGRESCUE.ORG,"17 WELLINGTON ROAD, SHORTSTOWN, BEDFORD, MK42 0UT",MK42 0UT,www.phoenixfrenchbulldogrescue.org
Pro Dogs Direct,1115647,South East England,,,,,www.prodogsdirect.org.uk,07766 021 465,Info@ProDogsDirect.Org.Uk,"4 Cole Avenue, Aldershot, GU11 1AN",GU11 1AN,www.prodogsdirect.org.uk
Rain Rescue,1115089,Yorkshire & The Humber,,,,,www.rainrescue.co.uk,01709247777,info@rainrescue.co.uk,"SUMMERFIELD LODGE, MOAT LANE, WICKERSLEY, ROTHERHAM, S66 1DZ",S66 1DZ,www.rainrescue.co.uk
Rainbow Rescue,,Northern Ireland,,,,,www.rainbowrehoming.com,,,,,
Raystede Centre for Animal Welfare,237696,South East England,,,,,www.raystede.org,01825840252,info@raystede.org,"RAYSTEDE, THE BROYLE, RINGMER, LEWES, BN8 5AJ",BN8 5AJ,www.raystede.org
Rescue Me Animal Sanctuary,1157210,North West England,,,,,www.rescueme.org.uk,07952017696,info@rescueme.org.uk,"Bells Farm, Prescot Road, Melling, LIVERPOOL, L31 1AR",L31 1AR,www.rescueme.org.uk
Rosie's Trust,,Northern Ireland,,,,,www.rosiestrust.org,,,,,
Rottweiler Welfare Association,279478,West Midlands,,,,,www.rottweilerwelfare.co.uk,07946083070,secretary@rottweilerwelfare.co.uk,"PO BOX 2424, Wrexham, LL11 0PR",LL11 0PR,www.rottweilerwelfare.co.uk
RSPCA,210743,National,,,,,www.rspca.org.uk,01227719113,admin@rspca-canterbury.org.uk,"C A D A C, Haseden Farm, Island Road, Hersden, Canterbury, CT3 4JD",CT3 4JD,www.rspca-canterbury.org.uk
RSPCA Brighton & The Heart of Sussex,206630,South East England,,,,,www.rspca-brighton.org.uk,01273554218,info@rspcabrighton.org.uk,"R S P C A Brighton &amp; The Heart of Sussex, Braypool Lane, Patcham, Brighton, BN1 8ZH",BN1 8ZH,www.rspca-brighton.co.uk
RSPCA Canterbury and District Branch,210743,South East England,,,,,www.rspca.org.uk/local/canterbury-and-district-branch,01227719113,admin@rspca-canterbury.org.uk,"C A D A C, Haseden Farm, Island Road, Hersden, Canterbury, CT3 4JD",CT3 4JD,www.rspca-canterbury.org.uk
