Rescue Name,Phone,Email,Address,Postcode
Aireworth Dogs in Need,07551 891117,aireworthdogsinneed@gmail.com,"4 Green Acres, Long Lee, Keighley, West Yorkshire, BD21 4WA",BD21 4WA
Akita Rescue & Welfare Trust (UK),0345 2 602 206,trustees@akitarescue.org.uk,"10 Dallison Road, Hibaldstow, BRIGG, DN20 9PU",DN20 9PU
All Creatures Great & Small,01633866144,info@allcreatureslife.org,"Church Farm, Church Road, Llanfrechfa, Cwmbran, NP44 8AD",NP44 8AD
All Dogs Matter,02083413196,info@alldogsmatter.co.uk,"30 AYLMER PARADE, AYLMER ROAD, LONDON, N2 0PE",N2 0PE
Animal Care - Lancaster Morecambe & District,0152465495,admin@animalcare-lancaster.co.uk,"Animal Care, Blea Tarn Road, Lancaster, Lancashire, LA2 0RD",LA2 0RD
Animal Concern Cumbria,07712330829,CONTACT@ANIMALCONCERNCUMBRIA.ORG,"Animal Concern Cumbria, The Mary Irwin Centre, EGREMONT, Cumbria, CA22 2UA",CA22 2UA
Animal Rescue Cumbria,01539824293,admin@animalrescuecumbria.co.uk,"Animal Rescue Cumbria, Kapellan, Grayrigg, KENDAL, LA8 9BS",LA8 9BS
Animal Support Angels,07752400127,amanda@animalsupportangels.com,"3 MALUS CLOSE, HEMEL HEMPSTEAD, HP2 4HN",HP2 4HN
Animal Welfare Furness,01229 811122,Info@animalwelfarefurness.org.uk,"122 Dalton Road, BARROW-IN-FURNESS, Cumbria, LA14 1JH",LA14 1JH
ANIMALS IN NEED NORTHAMPTONSHIRE,01933278080,admin@animals-in-need.org,"PINE TREE FARM, LONDON ROAD, LITTLE IRCHESTER, WELLINGBOROUGH, NN8 2EH",NN8 2EH
Battersea,02076279000,info@battersea.org.uk,"BATTERSEA DOGS & CATS HOME, 4 BATTERSEA PARK ROAD, LONDON, SW8 4AA",SW8 4AA
Berwick Animal Rescue Kennels,01289305270,rehome@aol.com,"43 WINDSOR CRESCENT, BERWICK-UPON-TWEED, TD15 1NT",TD15 1NT
Birmingham Dogs Home,0121 643 5211,info@birminghamdogshome.org.uk,"Birmingham Dogs Home, Catherine-de-Barnes Lane, Catherine-de-Barnes, SOLIHULL, B92 0DJ",B92 0DJ
Bleakholt Animal Sanctuary,01706822577,reception@bleakholt.org,"BLEAKHOLT ANIMAL SANCTUARY, BLEAKHOLT FARM, BURY OLD ROAD, RAMSBOTTOM, BURY, BL0 0RX",BL0 0RX
Blue Cross,03007909903,info@bluecross.org.uk,"Blue Cross, Shilton Road, BURFORD, OX18 4PF",OX18 4PF
